Trace ID,Amplitude Range,Start time,End time,Similarity
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:19.993000Z,2020-10-04T07:19:04.993000Z,-0.847529
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:24.993000Z,2020-10-04T07:19:09.993000Z,-0.847130
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:29.993000Z,2020-10-04T07:19:14.993000Z,-0.845901
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:34.993000Z,2020-10-04T07:19:19.993000Z,-0.843844
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:39.993000Z,2020-10-04T07:19:24.993000Z,-0.840961
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:44.993000Z,2020-10-04T07:19:29.993000Z,-0.837254
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:49.993000Z,2020-10-04T07:19:34.993000Z,-0.832728
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:54.993000Z,2020-10-04T07:19:39.993000Z,-0.827386
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:12:59.993000Z,2020-10-04T07:19:44.993000Z,-0.821234
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:13:04.993000Z,2020-10-04T07:19:49.993000Z,-0.814279
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:13:09.993000Z,2020-10-04T07:19:54.993000Z,-0.806526
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:19:54.993000Z,2020-10-04T07:26:39.993000Z,0.803292
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:19:59.993000Z,2020-10-04T07:26:44.993000Z,0.810497
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:04.993000Z,2020-10-04T07:26:49.993000Z,0.816905
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:09.993000Z,2020-10-04T07:26:54.993000Z,0.822509
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:14.993000Z,2020-10-04T07:26:59.993000Z,0.827305
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:19.993000Z,2020-10-04T07:27:04.993000Z,0.831287
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:24.993000Z,2020-10-04T07:27:09.993000Z,0.834451
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:29.993000Z,2020-10-04T07:27:14.993000Z,0.836796
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:34.993000Z,2020-10-04T07:27:19.993000Z,0.838319
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:39.993000Z,2020-10-04T07:27:24.993000Z,0.839018
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:44.993000Z,2020-10-04T07:27:29.993000Z,0.838894
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:49.993000Z,2020-10-04T07:27:34.993000Z,0.837946
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:54.993000Z,2020-10-04T07:27:39.993000Z,0.836175
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:20:59.993000Z,2020-10-04T07:27:44.993000Z,0.833585
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:21:04.993000Z,2020-10-04T07:27:49.993000Z,0.830177
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:21:09.993000Z,2020-10-04T07:27:54.993000Z,0.825955
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:21:14.993000Z,2020-10-04T07:27:59.993000Z,0.820924
Deglitched_sol_659_ZNE.mseed,0.00,2020-10-03T17:21:19.993000Z,2020-10-04T07:28:04.993000Z,0.815090
